GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trace-finder,org.example.Classes,CommandValidator,3,66,0,6,1,13,1,5,1,2
trace-finder,org.example.Classes,LogsReader.LineIssue,0,9,0,0,0,1,0,1,0,1
trace-finder,org.example.Classes,LogsReader.ScoredEntry,0,9,0,0,0,1,0,1,0,1
trace-finder,org.example.Classes,LogsReader.LogEntry,0,24,0,0,0,1,0,1,0,1
trace-finder,org.example.Classes,RulebookAnalyzer,20,345,2,26,6,71,3,25,1,13
trace-finder,org.example.Classes,ReportGenerator,3,250,0,24,1,47,1,15,1,3
trace-finder,org.example.Classes,LogsReader.ParseResult,0,9,0,0,0,1,0,1,0,1
trace-finder,org.example.Classes,TimeWindow,0,68,0,10,0,11,0,10,0,5
trace-finder,org.example.Classes,CommandValidator.Config,0,15,0,0,0,1,0,1,0,1
trace-finder,org.example.Classes,LogsReader,24,128,1,9,6,24,3,6,2,2
trace-finder,org.example.Exceptions,WrongNumberOfArguments,4,0,0,0,2,0,1,0,1,0
trace-finder,org.example,Main,58,0,0,0,21,0,2,0,2,0
